1	first person
2	second person
3	third person
&	coordination marker
1DU	first dual
1O	first person object
1OBJ	first person object
1PL	first person plural
1PLO	first person plural object
1PLOBJ	first person plural object
1PLS	first person plural subject
1PLSUBJ	first person plural subject
1PROX	first person proximate (close to speaker)
1S	first person subject
1SG	first person singular
1SGO	first person singular object
1SGOBJ	first person singular object
1SGS	first person singular subject
1SGSUBJ	first person singular subject
1SUBJ	first person subject
2DU	second dual
2PROX	second person proximate (close to hearer)
2SG	second person singular
2SGO	second person singular subject
2SGOBJ	second person singular subject
2SGS	second person singular object
2SGSUBJ	second person singular object
3DU	third dual
3F	third person feminine
3M	third person masculine
3N	third person neutral
3O	third person subject agreement
3OBJ	third person object agreement
3PL	third person plural
3S	third person subject agreement
3SG	third person singular
3SUBJ	third person subject agreement
A	agent-like argument of canonical transitive verb
ABE	abessive
ABESS	abessive
ABL	ablative
ABS	absolutive
ABSEN	absentive
ABSL	absolute case
ABST	abstractive
ABSTR	abstract
ABSV	absentive
ACC	accusative
ACCMP	accomplishment
ACCOM	accompanier
ACD	antecedent contained deletion
ACH	achievement
ACT	active
AD	addressee
AD	adessive
AD	near
ADAP	adaptive
ADD	additive
ADDIT	additive
ADDR	addressee
ADDR	addressive
ADE	adessive
ADEL	adelative
ADESS	adessive
ADJ	adjective
ADJ	adjectivizer
ADJ	adjunct
ADJR	adjectivizer
ADJZ	adjectivizer
ADM	admirative
ADM	admonitive
ADMON	admonitive
ADN	adnominal
ADN	adnominalizer
ADR	addressive
ADV	adverb
ADV	adverbial
ADV	adverbializer
ADVER	adversative
ADVR	adverbializer
ADVRS	adversative
ADVRST	adversative
ADVS	adversative
ADVZ	adverbializer
ADVZR	adverbializer
AE	argument ellipsis
AEQ	aequalis
AF	agent focus
AFF	affirmative
AFF	affix
AFFECT	affectionate
AFFT	affective
AG	agent
AG	agentive
AGR	agreement
AGT	agent
AGT	agentive
AI	adversity impersonal
AI	intransitive animate
AJC	adjacent
AL	alienable
ALIEN	alienable
ALL	allative
ALL	allocative
ALL	allomorph
ALLOC	allocutive
ALT	alternative
ALTER	alterphoric
AMBIPH	ambiphoric
AMP	amplifier
AN	animate
ANA	anaphoric
ANAPH	anaphoric
AND	andative
ANI	animate
ANIM	animate
ANM	animate
ANP	anaphoric
ANT	in front of
ANTC	anticipatory
ANTDIR	antedirective
ANTE	in front of
ANTEL	anteelative
ANTESS	antessive
ANTIC	anticausative
ANTIC	anticipatory
ANTIP	antipassive
ANTLAT	antelative
ANZ	adnominalizer
AOR	aorist
AP	antipassive
AP	applicative
APASS	antipassive
APL	applicative
APL	apudlative
APP	applicative
APPL	applicative
APPOS	apposition
APPR	apprehensive
APPR	approximative
APPROB	approbation
APR	apprehensive
APRX	approximative
APUD	near, in the vicinity of
AR	areal
AREA	areal
ARG	argumentative
ART	article
AS	aseverative
ASC	associative
ASP	aspect
ASRT	assertive
ASS	assertive
ASS	associative
ASSC	associative
ASSERT	assertive
ASSOC	associative
ASST	assertive
ASSU	assumptive
ASSUM	assumptive
AST	assistive
ASYM	asymmetric
ATEL	atelic
ATR	attributive
ATT	attenuative
ATTEN	attenuative
ATTN	attenuative
ATTR	attributive
AUD	auditive
AUG	augment
AUG	augmentative
AUX	auxiliary
AV	agent voice
AVERS	aversive
AVERT	avertive
